File,Name,Level,Percent,Damage,Confidence
Archive,Community,17,29.0,72423951,
Archive,Community,20,8.0,143414658,
Archive,Community,21,1.0,173418819,
Archive,Community,22,47.0,234200050,
Archive,Community,23,47.0,290435970,
Archive,Community,23,70.0,303502935,
Archive,Community,24,53.0,355707410,
Archive,Community,25,9.0,393058820,
Archive,Community,25,14.0,397026845,
Archive,Community,25,22.0,402311815,
Archive,Community,25,67.0,434683450,
Archive,Community,26,50.0,497914590,
Archive,Community,27,17.0,556221612,
Archive,Community,27,20.0,559441034,
Archive,Community,27,79.0,626400558,
Archive,Community,28,11.0,663193137,
Archive,Community,28,16.0,669205486,
Archive,Community,28,50.0,710441567,
Archive,Community,29,30.0,811950970,
Archive,Community,29,57.0,847594114,
Archive,Community,29,72.0,867834427,
Archive,Community,30,3.0,901248419,
Archive,Community,30,0.0,905376879,
Archive,Community,30,5.0,912977123,
Archive,Community,30,11.0,921055692,
Archive,Community,30,27.0,944092374,
Archive,Community,32,22.0,1243209406,
Archive,Community,35,25.0,1812831025,
Archive,Community,38,37.0,2554494393,
Archive,Community,39,27.0,2799865740,
Archive,Community,39,65.0,2909355975,
Archive,Community,40,22.0,3079843839,
Archive,Community,40,37.0,3126908935,
Archive,Community,40,40.0,3136414860,
Archive,Community,40,0.0,3013185586,
Archive,Community,40,5.0,3026563430,
Archive,Community,41,18.0,3385200438,
Archive,Community,41,37.0,3445924183,
Archive,Community,41,61.0,3538623829,
Archive,Community,41,67.0,3546430572,
Archive,Community,42,3.0,3670692073,
Archive,Community,42,6.0,3681348810,
Archive,Community,42,13.0,3704877077,
Archive,Community,42,14.0,3709595305,
Archive,Community,43,10.0,4058504133,
Archive,Community,43,39.0,4168562903,
Archive,Community,44,73.0,4709602412,
Archive,Community,44,93.0,4790700657,
Archive,Community,45,6.0,4846951073,
Archive,Community,45,41.0,5003198972,
Archive,Community,49,17.0,6910710348,
Archive,Community,49,27.0,6968005861,
Archive,Community,56,2.0,11934638223,
Archive,Community,26,77.0,518646735,
Archive,Community,26,16.0,470584620,
Archive,Community,26,1.0,458914560,
Archive,Community,27,25.0,564865635,
Archive,Community,28,22.0,676949194,
Archive,Community,29,73.0,869206729,
Archive,Community,29,56.0,847118322,
Archive,Community,29,20.0,798670082,
Archive,Community,30,32.0,951557787,
Archive,Community,30,13.0,923816498,
Archive,Community,30,12.0,922204957,
Archive,Community,30,1.0,906320690,
