72,423,951 - 29% of trial lv. 17
143,414,658 - 8% of trial lv 20
173,418,819 - 1% of trial lv.21
234,200,050 - 47% of trial lv 22
290,435,970 - 47% of Trial lv 23
303,502,935 - 70% of Trial Lv 23
355,707,410 - 53% of Trial lv 24
393,058,820 - 9% of Trial Lv 25
397,026,845 - 14% of trial lv. 25
402,311,815 - 22% of Trial Lv. 25
434,683,450 - 67% of Trial lv 25
497,914,590 - 50% of Trial Lv. 26
556,221,612 - 17% of Trial Lv. 27
559,441,034 - 20% of Trial Lv. 27
626,400,558 - 79% of Trial Lv. 27
663,193,137 - 11% of Trial lv 28
669,205,486 - 16% of Trial Lv. 28
710,441,567 - 50% of Trial Lv 28
811,950,970 - 30% of Trial Lv.29
847,594,114 - 57%  of Trial Lv. 29
867,834,427 - 72% of Trial Lv. 29	
901,248,419 - 3% of Trial lv 30
905,376,879 - 0% of Trial Lv 30
912,977,123 - 5% of Trial Lv 30
921,055,692 - 11% of Trial Lv 30
944,092,374 - 27% of Trial Lv 30
1,243,209,406 - 22% of Trial lv. 32
1,812,831,025 - 25% of Lv. 35
2,554,494,393 - 37% of Lv. 38
2,799,865,740 - 27% of Trial lv 39
2,909,355,975 - 65% of lv 39
3,079,843,839 - 22% of Lv 40
3,126,908,935 - 37% of Lv. 40
3,136,414,860 - 40% of Lv. 40
3,013,185,586 - 0% of Trial Lv. 40
3,026,563,430 - 5% of Trial Lv 40
3,385,200,438 - 18% of Trial Lv 41
3,445,924,183 - 37% of Trial Lv 41
3,538,623,829 - 61% of Trial Lv 41
3,546,430,572 - 67% of Trial Lv 41
3,670,692,073 - 3% of Trial Lv 42. 
3,681,348,810 - 6% of Trial Lv 42
3,704,877,077 - 13% of Trial Lv 42
3,709,595,305  - 14% of Trial Lv 42
4,058,504,133 - 10% of Trial Lv. 43
4,168,562,903 - 39% of Trial Lv 43	
4,709,602,412 - 73% of Trial Lv 44
4,790,700,657 - 93% of Trial Lv 44
4,846,951,073 - 6% of Trial Lv 45
5,003,198,972 - 41% of Trial Lv 45
6,910,710,348 - 17% of Trial Lv 49
6,968,005,861 - 27% of Trial Lv 49
11,934,638,223 - 2% of Trial lv. 56
